2015-05-16	02:00:05+0	44.614827	6.520747	(-)0

Date	Time	TTF	Lat	Long	SAT´s	2D/3D	Alt	H-DOP	Temp	X	Y	
2015-05-09	18:00:00	34	44.5806517	 6.5003817	7	3D	  1084	1.1	 20	  0	  0
2015-05-10	00:00:00	39	44.5807033	 6.5004017	8	3D	  1070	1.2	  9	  0	  0
2015-05-10	06:00:00	30	45.0182283	 6.4659900	7	3D	  1710	1.3	 11	  0	  0
2015-05-10	10:25:00		Mortality						 38		
2015-05-10	10:25:00	30	45.0183250	 6.4663317	6	3D	  1726	1.2	 37	  0	  0
2015-05-10	10:42:00		Mortality						 34		
2015-05-10	10:42:00	39	44.9854500	 6.4841567	6	3D	  1534	1.5	 34	  0	  0
2015-05-10	10:57:00		Mortality						 35		


